,sample,annotation
20314,сладко баклажан,"[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]"
6183,грудка филе,"[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]"
11303,лайм artfru,"[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND')]"
1591,naturla,"[(0, 7, 'B-BRAND')]"
26429,шпикачки вмк,"[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]"
18546,рис для плов,"[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]"
2396,абрау дюрсо розовый,"[(0, 11, 'B-BRAND'), (12, 18, 'B-TYPE')]"
16701,плавденный,"[(0, 10, 'B-TYPE')]"
14559,нут национал,"[(0, 3, 'B-TYPE'), (4, 12, 'B-BRAND')]"
9516,ком ацо майк,"[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]"
5233,вяленый наутил,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]"
25748,чернослиы,"[(0, 9, 'B-TYPE')]"
21452,спет ан,"[(0, 6, 'B-TYPE')]"
20420,слив ум,"[(0, 6, 'B-TYPE')]"
8987,кисель фрутонян,"[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]"
3020,балтика,"[(0, 7, 'B-BRAND')]"
9903,коре андр,"[(0, 8, 'B-TYPE')]"
8228,канцтовар,"[(0, 9, 'B-TYPE')]"
9105,клубгикой,"[(0, 9, 'B-TYPE')]"
13913,мыльный,"[(0, 6, 'B-TYPE')]"
5295,газироаа,"[(0, 8, 'B-TYPE')]"
3972,булка с кунжут,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O')]"
21754,степ лера prof,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]"
14663,обложка аппли,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]"
4133,бумажный салфетк,"[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]"
974,green,"[(0, 5, 'B-BRAND')]"
7291,зашигалки,"[(0, 9, 'B-TYPE')]"
15585,панама trilob,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
17338,пороок,"[(0, 6, 'B-TYPE')]"
9752,конфета манго,"[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]"
13774,мука рисова,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]"
23265,телятина мороженый,"[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]"
5016,вода липецкий,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
17602,приправп,"[(0, 8, 'B-TYPE')]"
10874,крушка,"[(0, 6, 'B-TYPE')]"
23874,трусик lovula,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]"
13239,молок об,"[(0, 7, 'B-TYPE')]"
18024,пудр,"[(0, 4, 'B-TYPE')]"
17674,производство морковь,"[(0, 12, 'B-BRAND'), (13, 20, 'B-TYPE')]"
11873,маг дарины,"[(0, 9, 'B-TYPE')]"
17764,протеиновв,"[(0, 10, 'B-TYPE')]"
1933,sakn,"[(0, 4, 'O')]"
4675,ветчиеа,"[(0, 7, 'B-TYPE')]"
10222,котоеты,"[(0, 7, 'B-TYPE')]"
892,gardix,"[(0, 6, 'B-BRAND')]"
7287,заточный стан,"[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]"
21260,сосиска,"[(0, 8, 'B-TYPE')]"
7906,йо герт,"[(0, 6, 'B-TYPE')]"
24578,фок гурт,"[(0, 7, 'B-TYPE')]"
14551,нут ste,"[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]"
23696,торт sem,"[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]"
25425,цитрус,"[(0, 8, 'B-TYPE')]"
18850,рултеик,"[(0, 7, 'B-TYPE')]"
7657,икор,"[(0, 4, 'B-TYPE')]"
10106,корню шоны,"[(0, 9, 'B-TYPE')]"
18297,ракообразн,"[(0, 10, 'B-TYPE')]"
11362,лаплчка,"[(0, 7, 'B-TYPE')]"
13832,мускатн,"[(0, 7, 'B-TYPE')]"
19120,салат для ш,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 11, 'O')]"
726,energy кофеварок,"[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]"
7214,за мороженна,"[(0, 11, 'B-TYPE')]"
8245,капитан ус,"[(0, 7, 'O'), (8, 12, 'O')]"
18180,пюре фрукт,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]"
15876,пекан,"[(0, 7, 'B-TYPE')]"
20229,скраб lumen,"[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]"
14199,напидки,"[(0, 7, 'B-TYPE')]"
22786,сэнд,"[(0, 4, 'B-TYPE')]"
10745,крпбовые,"[(0, 8, 'B-TYPE')]"
17320,попкорр,"[(0, 7, 'B-TYPE')]"
18649,рожек,"[(0, 5, 'B-TYPE')]"
17208,помидор консервированны,"[(0, 8, 'B-TYPE'), (9, 24, 'I-TYPE')]"
7274,зарядный устройство,"[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]"
11593,лимон б,"[(0, 6, 'B-TYPE'), (7, 8, 'B-BRAND')]"
1389,maccoffe,"[(0, 8, 'B-BRAND')]"
3564,блин с мясо,"[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]"
9076,клён,"[(0, 4, 'B-TYPE')]"
5429,гашировка,"[(0, 9, 'B-TYPE')]"
27084,яйцо перепелиный,"[(0, 4, 'B-TYPE'), (5, 16, 'I-TYPE')]"
16220,песенье с клюквой,"[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]"
24211,укропп,"[(0, 6, 'B-TYPE')]"
22074,сухарик,"[(0, 8, 'B-TYPE')]"
14899,огурец маринованые,"[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]"
24262,ультра пастеризованное э,"[(0, 21, 'B-TYPE'), (22, 23, 'B-BRAND')]"
15512,палас атик,"[(0, 9, 'B-TYPE')]"
14561,нут степ,"[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]"
1868,rendi,"[(0, 5, 'B-BRAND')]"
8202,камбалообразн,"[(0, 13, 'B-TYPE')]"
23870,трусик huggi,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]"
806,finis,"[(0, 5, 'B-BRAND')]"
4805,винный ариа,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]"
25647,че буре,"[(0, 6, 'B-TYPE')]"
12260,манты,"[(0, 5, 'B-TYPE')]"
26098,шампиньюны,"[(0, 10, 'B-TYPE')]"
27195,яр хлеб,"[(0, 6, 'B-TYPE')]"
10426,крапива,"[(0, 8, 'B-TYPE')]"
9155,км ин,"[(0, 4, 'B-TYPE')]"
23895,труьочки,"[(0, 8, 'B-TYPE')]"
24440,фенхел,"[(0, 6, 'B-TYPE')]"
15152,опаласкиватель,"[(0, 14, 'B-TYPE')]"
4494,василеостровский медовуха,"[(0, 16, 'B-BRAND'), (17, 25, 'B-TYPE')]"
2632,ананас,"[(0, 8, 'B-TYPE')]"
14286,напольный покрытие,"[(0, 9, 'B-TYPE'), (10, 18, 'I-TYPE')]"
25744,чернослив производство,"[(0, 9, 'B-TYPE'), (10, 21, 'B-BRAND')]"
25280,хоньяк,"[(0, 6, 'B-TYPE')]"
25007,хлеб отрубной,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
7832,иогурт,"[(0, 6, 'B-TYPE')]"
20772,снигерс,"[(0, 7, 'B-BRAND')]"
14269,наполнитель для кл,"[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 18, 'O')]"
145,artfruit манг,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]"
22851,тажы,"[(0, 4, 'B-TYPE')]"
2033,sinirgetic,"[(0, 10, 'B-BRAND')]"
24951,хлеб волжский,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
1165,kerilli,"[(0, 7, 'B-BRAND')]"
11692,ломоть,"[(0, 5, 'B-TYPE')]"
2050,smart краса,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]"
20144,сир атки,"[(0, 7, 'B-TYPE')]"
10816,круж,"[(0, 4, 'B-TYPE')]"
12676,мвйноез,"[(0, 7, 'B-TYPE')]"
20819,совок atmosphe,"[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]"
3430,белый шок,"[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]"
24574,флэт,"[(0, 4, 'B-TYPE')]"
27216,яцйцо,"[(0, 5, 'B-TYPE')]"
7069,житный,"[(0, 6, 'B-TYPE')]"
4361,вар аники,"[(0, 8, 'B-TYPE')]"
10616,крем мыло camay,"[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]"
18155,пюре доушим быстрый приготовление,"[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND'), (12, 20, 'I-TYPE'), (21, 34, 'I-TYPE')]"
19895,сельдьц,"[(0, 7, 'B-TYPE')]"
271,biomax т,"[(0, 6, 'B-BRAND'), (7, 8, 'B-TYPE')]"
12984,минтай филе,"[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]"
8436,карбрнат,"[(0, 8, 'B-TYPE')]"
18416,ре дика,"[(0, 6, 'B-TYPE')]"
12316,маринованы,"[(0, 10, 'B-TYPE')]"
26939,яблочко,"[(0, 7, 'B-TYPE')]"
9005,кисловодский,"[(0, 12, 'B-BRAND')]"
26803,эогурцы,"[(0, 7, 'B-TYPE')]"
3810,бритвенный кассета,"[(0, 10, 'B-TYPE'), (11, 17, 'I-TYPE')]"
13919,мырный,"[(0, 6, 'B-TYPE')]"
15775,пастлы,"[(0, 6, 'B-TYPE')]"
9996,корм влажный для к,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 16, 'O'), (17, 19, 'O')]"
4346,ванильный па рф,"[(0, 9, 'B-TYPE'), (10, 14, 'B-BRAND')]"
545,cykoria корица,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]"
19625,свитло,"[(0, 6, 'B-TYPE')]"
25314,хр ус team галеты,"[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]"
8502,кар ти,"[(0, 5, 'B-TYPE')]"
11713,лососёвый,"[(0, 9, 'B-TYPE')]"
15229,орех звезда,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
9323,колбаса докторский без глютен,"[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 22, 'O'), (23, 30, 'O')]"
13737,мужской,"[(0, 7, 'B-TYPE')]"
27142,яйцох,"[(0, 5, 'B-TYPE')]"
15520,пал кеты,"[(0, 7, 'B-TYPE')]"
7564,зубые щети,"[(0, 5, 'O'), (6, 10, 'O')]"
17304,поп корн сладко соленный,"[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE'), (9, 15, 'O'), (16, 24, 'O')]"
15317,отбелиаатель,"[(0, 12, 'B-TYPE')]"
26055,шампанское с,"[(0, 10, 'B-TYPE'), (11, 12, 'B-BRAND')]"
11779,луко,"[(0, 4, 'B-TYPE')]"
6640,докторский,"[(0, 10, 'B-TYPE')]"
24078,тушёнка,"[(0, 7, 'B-TYPE')]"
8230,каныеты,"[(0, 7, 'B-TYPE')]"
12651,махеевъ горчи,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]"
23510,томат рост,"[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]"
20662,сметана,"[(0, 8, 'B-TYPE')]"
2983,ба кет,"[(0, 5, 'B-TYPE')]"
16514,пинце,"[(0, 5, 'B-TYPE')]"
13409,морковка тен де,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]"
24364,фаршев,"[(0, 6, 'B-TYPE')]"
2667,антисептик,"[(0, 10, 'B-TYPE')]"
23522,томатный,"[(0, 7, 'B-TYPE')]"
19607,свинина тушенная,"[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]"
9374,колбаса сыр окоп,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
24077,тушёный говядина,"[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]"
21776,стерилизованный молочный,"[(0, 15, 'B-TYPE'), (16, 24, 'I-TYPE')]"
614,dionica,"[(0, 7, 'B-BRAND')]"
19945,се мечи,"[(0, 6, 'B-TYPE')]"
17850,прочие корнеплод,"[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]"
4497,вастэко завтрак,"[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]"
19426,сахар заменитель,"[(0, 5, 'B-TYPE'), (6, 16, 'I-TYPE')]"
25510,чай зелёный,"[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE')]"
18803,рукеоло,"[(0, 7, 'B-TYPE')]"
21469,специя доя гречка,"[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]"
3294,безздрожевой,"[(0, 12, 'B-TYPE')]"
6737,дрожжи сырой,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
1500,milano,"[(0, 6, 'B-BRAND')]"
9018,кисломолочный про дук,"[(0, 13, 'B-TYPE'), (14, 20, 'I-TYPE')]"
17905,прочий освежите,"[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]"
27186,янцо,"[(0, 4, 'B-TYPE')]"
15023,окоросок,"[(0, 8, 'B-TYPE')]"
11122,куриный бедро,"[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]"
4232,бэби,"[(0, 4, 'B-TYPE')]"
24070,тушннка,"[(0, 7, 'B-TYPE')]"
8820,квашен на,"[(0, 8, 'B-TYPE')]"
4430,варено копченная,"[(0, 16, 'B-TYPE')]"
12045,макаронный изделие,"[(0, 10, 'B-TYPE'), (11, 18, 'I-TYPE')]"
16774,платье сарафан,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
27064,яйуо,"[(0, 4, 'B-TYPE')]"
23508,томат ро,"[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND')]"
22297,сыр в салат,"[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O')]"
12182,ман,"[(0, 3, 'B-TYPE')]"
8592,картошка для запекание,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 22, 'O')]"
4806,винный ариан,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
26460,шпмпунь,"[(0, 7, 'B-TYPE')]"
24622,фпомидоры,"[(0, 9, 'B-TYPE')]"
13849,мусс творожн,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]"
24428,фен moulinex,"[(0, 3, 'B-TYPE'), (4, 12, 'B-BRAND')]"
25064,хлеб цельно зерновой,"[(0, 4, 'B-TYPE'), (5, 19, 'I-TYPE')]"
20377,сливка,"[(0, 7, 'B-TYPE')]"
11918,майо,"[(0, 4, 'B-TYPE')]"
21771,стержень грифель,"[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]"
22993,твёрдый,"[(0, 6, 'B-TYPE')]"
15896,пелменс,"[(0, 7, 'B-TYPE')]"
5319,газированный напитк,"[(0, 12, 'B-TYPE'), (13, 19, 'I-TYPE')]"
27037,яй 2 а,"[(0, 4, 'B-TYPE')]"
7119,заварное,"[(0, 8, 'B-TYPE')]"
2421,авангард ба то,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]"
21988,суп пюре,"[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]"
1750,paramalat,"[(0, 9, 'B-BRAND')]"
11344,лампочххка,"[(0, 10, 'B-TYPE')]"
19092,сазенцы,"[(0, 7, 'B-TYPE')]"
12254,манна кру,"[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]"
26871,яаблко,"[(0, 6, 'B-TYPE')]"
338,boyarin патиссон,"[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]"
24791,фунчаз,"[(0, 6, 'B-TYPE')]"
11855,лёгкий сыр,"[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]"
1341,lipto,"[(0, 5, 'B-BRAND')]"
26639,эклеро,"[(0, 6, 'B-TYPE')]"
24366,фаршевый,"[(0, 8, 'B-TYPE')]"
3640,блокнот centr,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]"
16713,плавка temp,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]"
21520,спортивный инвентарь,"[(0, 10, 'B-TYPE'), (11, 20, 'I-TYPE')]"
3004,баклажан сладко,"[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]"
6960,желатин spicexpert,"[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND')]"
4090,бульонный,"[(0, 9, 'B-TYPE')]"
16314,печень свиной,"[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]"
18706,роллер axe,"[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]"
23051,творог 5,"[(0, 6, 'B-TYPE'), (7, 9, 'B-PERCENT')]"
23393,тетрадка,"[(0, 8, 'B-TYPE')]"
20581,смесь овощной,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]"
19933,семя тыква,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
9650,консервированны,"[(0, 15, 'B-TYPE')]"
8363,кар ава,"[(0, 6, 'B-TYPE')]"
20587,смесь перец,"[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]"
26326,шоколад росийскя душ,"[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND'), (17, 21, 'I-BRAND')]"
12418,марселадкм,"[(0, 10, 'B-TYPE')]"
24354,фарш домашний,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
13350,моороженое,"[(0, 10, 'B-TYPE')]"
25883,чикорий,"[(0, 7, 'B-TYPE')]"
22569,сырникиш,"[(0, 8, 'B-TYPE')]"
18023,пудмнг,"[(0, 6, 'B-TYPE')]"
9130,клучи,"[(0, 5, 'B-TYPE')]"
60,alpen gold max,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'I-BRAND')]"
1240,l m сигарета,"[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE')]"
22144,сухой корм для стерилизованных кошка,"[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE'), (11, 14, 'O'), (15, 30, 'O'), (31, 36, 'O')]"
5136,воздушный,"[(0, 9, 'B-TYPE')]"
2343,zanducelli,"[(0, 10, 'B-BRAND')]"
15048,оладушк,"[(0, 7, 'B-TYPE')]"
2120,svega,"[(0, 5, 'B-BRAND')]"
1524,minerale,"[(0, 8, 'B-TYPE')]"
7617,из сай,"[(0, 2, 'B-TYPE'), (3, 6, 'I-TYPE')]"
153,artfruit смородин,"[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]"
14536,нуга ум,"[(0, 4, 'B-TYPE'), (5, 7, 'B-BRAND')]"
481,clipstudio карандаш,"[(0, 10, 'B-BRAND'), (11, 19, 'B-TYPE')]"
6122,грибя,"[(0, 5, 'B-TYPE')]"
12652,махеевъ горчиц,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]"
24058,тушенн,"[(0, 6, 'B-TYPE')]"
23485,толстов,"[(0, 7, 'B-TYPE')]"
12112,маккароны,"[(0, 9, 'B-TYPE')]"
15850,паштет кто ни будь,"[(0, 7, 'B-TYPE'), (8, 18, 'O')]"
1762,paterra тряпк,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]"
15826,па чтила без сахар,"[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]"
15507,пакет цело фановые,"[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]"
8942,кизинаки,"[(0, 8, 'B-TYPE')]"
7715,или spicexpert,"[(0, 3, 'O'), (4, 14, 'B-BRAND')]"
21792,стиральный машина,"[(0, 10, 'B-TYPE'), (11, 16, 'I-TYPE')]"
23863,трубочкп,"[(0, 8, 'B-TYPE')]"
22596,сырный,"[(0, 5, 'B-TYPE')]"
4853,вир мишель,"[(0, 9, 'B-TYPE')]"
2711,апельсиновый сок,"[(0, 12, 'B-TYPE'), (13, 16, 'I-TYPE')]"
23150,творожкки,"[(0, 9, 'B-TYPE')]"
20534,сменный бал,"[(0, 7, 'B-TYPE'), (8, 11, 'I-TYPE')]"
17717,простикваштный,"[(0, 13, 'B-TYPE')]"
11046,кулин ари,"[(0, 8, 'B-TYPE')]"
24762,фрутоняня с печение,"[(0, 9, 'B-BRAND'), (10, 11, 'O'), (12, 20, 'O')]"
6819,ежедневный прокладка,"[(0, 10, 'B-TYPE'), (11, 20, 'I-TYPE')]"
24063,тушка ку,"[(0, 5, 'B-TYPE'), (6, 8, 'I-TYPE')]"
21799,стиральный,"[(0, 10, 'B-TYPE')]"
20234,скраб для тело,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O')]"
24724,фрутилад,"[(0, 8, 'B-BRAND')]"
20508,см 4 иана,"[(0, 7, 'B-TYPE')]"
13081,мморковь,"[(0, 8, 'B-TYPE')]"
21874,стручкоаая,"[(0, 10, 'B-TYPE')]"
11555,лимон адово,"[(0, 10, 'B-TYPE')]"
21172,сооянка,"[(0, 7, 'B-TYPE')]"
19250,салфетка для ку,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 15, 'O')]"
17770,протеиновыйз,"[(0, 12, 'B-TYPE')]"
5941,гранула для пр очи,"[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]"
3067,банан,"[(0, 6, 'B-TYPE')]"
25976,чкрвички,"[(0, 8, 'B-TYPE')]"
3629,блокнот smar,"[(0, 9, 'B-TYPE'), (10, 14, 'B-BRAND')]"
26523,щербет,"[(0, 6, 'B-TYPE')]"
24027,тунец,"[(0, 5, 'B-TYPE')]"
3028,бальзам для в,"[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 14, 'O')]"
2969,базилик май ск,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]"
11664,лницы,"[(0, 5, 'O')]"
8646,каряндаш,"[(0, 8, 'B-TYPE')]"
15156,опивок,"[(0, 6, 'B-TYPE')]"
22520,сырдцееды,"[(0, 9, 'B-TYPE')]"
26040,шалфей,"[(0, 6, 'B-TYPE')]"
25185,хлопья 4 злак,"[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]"
4263,в зернах,"[(0, 1, 'B-TYPE'), (2, 8, 'I-TYPE')]"
17029,поимидоры,"[(0, 9, 'B-TYPE')]"
15646,папирус,"[(0, 7, 'B-TYPE')]"
7992,йогуртовый,"[(0, 10, 'B-TYPE')]"
18458,рем ит сал,"[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]"
16725,плавленн,"[(0, 8, 'B-TYPE')]"
8041,ка,"[(0, 2, 'O')]"
15988,пена доя бритьё,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]"
1622,nestle,"[(0, 6, 'B-BRAND')]"
12875,миндале,"[(0, 7, 'B-TYPE')]"
23525,томатнав,"[(0, 8, 'B-TYPE')]"
22180,сушены,"[(0, 6, 'B-TYPE')]"
7184,заливка,"[(0, 7, 'B-TYPE')]"
24616,форш,"[(0, 4, 'B-TYPE')]"
5475,гель для полоскание,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 19, 'O')]"
23365,тесто дрожжевой,"[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]"
16458,пивной безалкогольный,"[(0, 6, 'B-TYPE'), (7, 21, 'I-TYPE')]"
8996,кисл ла,"[(0, 6, 'B-TYPE')]"
11372,лапша для суп,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O')]"
8633,картытель,"[(0, 9, 'B-TYPE')]"
23193,творожок мягкий,"[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]"
18435,рее диска,"[(0, 8, 'B-TYPE')]"
18925,рыбва,"[(0, 5, 'B-TYPE')]"
17685,прокладка,"[(0, 9, 'B-TYPE')]"
22261,сыльдерей,"[(0, 9, 'B-TYPE')]"
23752,тостер marta,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
1304,libendorf,"[(0, 9, 'B-BRAND')]"
8428,карбонар,"[(0, 8, 'B-TYPE')]"
4033,булочка петрохл,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]"
2599,альма,"[(0, 5, 'B-BRAND')]"
12808,мечта сметать,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]"
2573,ал адушкин,"[(0, 9, 'B-BRAND')]"
3186,батон с чеснок,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O')]"
19152,салат,"[(0, 6, 'B-TYPE')]"
4831,виноград микс,"[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]"
20607,сметаеа,"[(0, 7, 'B-TYPE')]"
16086,перец kotan,"[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]"
24557,фитнес аксессуар,"[(0, 16, 'B-TYPE')]"
2106,step ку ск,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]"
19063,сад при донья ябл,"[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'B-TYPE')]"
15517,палет,"[(0, 5, 'B-TYPE')]"
12880,миндальный молоко,"[(0, 10, 'B-TYPE'), (11, 17, 'I-TYPE')]"
17771,протеинр,"[(0, 8, 'B-TYPE')]"
26816,эскалоп,"[(0, 7, 'B-TYPE')]"
25790,чеснок сушёный,"[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]"
22370,сыр нарезка,"[(0, 3, 'B-TYPE'), (4, 11, 'O')]"
7083,жребра,"[(0, 6, 'B-TYPE')]"
13192,молоко домик в деревни,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND'), (13, 14, 'I-BRAND'), (15, 22, 'I-BRAND')]"
1279,larsen шпро,"[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]"
13221,молоко станция молочный,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 23, 'I-BRAND')]"
804,filippo,"[(0, 7, 'B-BRAND')]"
14596,нф бюстгальте,"[(0, 2, 'B-BRAND'), (3, 13, 'B-TYPE')]"
17939,пряник,"[(0, 7, 'B-TYPE')]"
20875,сои вый,"[(0, 6, 'B-TYPE')]"
11382,лапша рол тон,"[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]"
4566,вафлт,"[(0, 5, 'B-TYPE')]"
26810,эрегетик,"[(0, 8, 'B-TYPE')]"
15358,от ломика,"[(0, 8, 'B-TYPE')]"
4841,вино грат,"[(0, 8, 'B-TYPE')]"
19978,семечьки,"[(0, 8, 'B-TYPE')]"
22419,сыр рикотта,"[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE')]"
23236,твррог,"[(0, 6, 'B-TYPE')]"
10112,коробка вектор,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]"
8705,каша беллини,"[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]"
20561,смесь для оладья,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]"
17692,прокладка с сеточ,"[(0, 9, 'B-TYPE'), (10, 11, 'O'), (12, 17, 'O')]"
13859,муфле,"[(0, 5, 'B-TYPE')]"
9106,клуби ка,"[(0, 7, 'B-TYPE')]"
3452,бетон,"[(0, 5, 'B-TYPE')]"
20079,сивка,"[(0, 5, 'B-TYPE')]"
20626,сметана на топлен,"[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]"
